kelime_sayisi,link_sayisi,buyuk_harf_orani,supheli_kelime_sayisi,gonderici_puani,ek_var,spam
144,4,0.04,0,72,1,0
163,1,0.21,0,81,1,0
50,2,0.29,1,40,1,0
136,4,0.32,0,91,0,1
177,2,0.21,0,96,0,0
159,6,0.02,2,41,1,1
234,1,0.25,1,72,0,1
164,4,0.35,0,59,1,1
136,2,0.72,1,65,0,1
24,4,0.35,5,35,1,1
27,6,0.38,5,41,1,1
85,0,0.23,0,90,0,0
71,2,0.18,3,72,0,0
70,7,0.56,3,32,0,1
60,2,0.01,3,76,0,0
33,3,0.01,5,100,0,0
141,3,0.37,0,47,0,0
171,4,0.81,4,31,0,1
176,3,0.26,2,40,1,1
91,7,0.21,4,43,0,1
155,1,0.16,0,74,0,1
123,4,0.26,2,27,1,1
114,1,0.34,1,83,0,0
225,1,0.1,1,53,0,0
55,2,0.08,1,83,0,0
33,1,0.32,7,71,1,1
150,0,0.22,3,66,0,0
145,7,0.55,5,44,0,1
60,0,0.14,0,54,0,0
106,5,0.01,1,96,0,0
83,1,0.11,2,77,0,0
172,4,0.43,4,57,0,1
87,5,0.15,1,0,1,1
98,2,0.15,2,84,0,0
51,2,0.45,3,50,1,1
140,1,0.01,3,72,0,0
35,4,0.2,1,75,0,0
101,3,0.39,0,52,1,0
46,5,0.28,3,22,0,1
146,3,0.26,3,92,0,0
158,3,0.44,1,36,1,1
88,0,0.28,1,52,1,1
91,1,0.07,3,71,1,0
50,3,0.33,6,32,0,1
150,2,0.4,0,100,0,0
100,2,0.01,0,99,1,1
180,0,0.09,3,53,0,0
126,0,0.24,2,98,0,0
41,1,0.36,3,59,0,0
68,1,0.2,0,69,0,0
154,5,0.4,7,75,0,1
97,0,0.41,0,38,0,0
101,1,0.12,1,42,0,1
103,4,0.2,1,73,0,0
96,5,0.39,5,22,1,1
174,1,0.11,2,94,0,0
179,3,0.34,1,85,1,0
203,1,0.18,6,49,1,0
146,2,0.11,0,85,1,0
209,0,0.62,1,56,0,0
42,4,0.06,3,32,0,0
86,0,0.03,0,41,0,0
190,1,0.09,0,79,0,0
126,5,0.52,0,25,1,1
95,5,0.01,3,66,0,0
39,8,0.82,6,12,0,1
123,3,0.29,1,80,0,0
117,6,0.02,5,50,1,1
186,2,0.26,3,30,0,0
29,3,0.64,8,66,1,1
220,1,0.01,0,53,0,0
187,0,0.41,3,73,0,0
55,3,0.18,3,53,1,0
240,0,0.27,0,49,1,0
52,5,0.29,5,15,0,1
57,5,0.16,3,100,0,1
58,2,0.17,4,73,1,0
33,6,0.57,5,45,1,1
145,0,0.19,4,79,0,0
27,7,0.51,1,59,1,1
40,4,0.52,6,61,0,1
172,2,0.38,3,33,0,1
226,0,0.1,0,87,0,0
44,3,0.58,4,94,0,1
41,5,0.47,4,0,0,1
114,1,0.06,4,36,0,0
93,3,0.31,3,32,0,1
162,2,0.67,0,22,0,1
187,1,0.02,0,51,0,1
99,6,0.33,5,51,0,1
37,3,0.31,0,85,1,0
165,0,0.18,6,70,1,1
128,2,0.44,3,76,1,1
171,1,0.44,6,46,0,0
74,5,0.08,4,50,1,1
156,3,0.19,6,5,1,1
24,3,0.44,3,61,1,1
123,6,0.44,5,11,0,1
47,4,0.69,2,36,1,1
63,7,0.55,3,37,0,1
195,2,0.09,2,80,0,0
75,4,0.13,0,75,0,0
194,0,0.03,3,48,1,0
97,5,0.16,3,46,1,0
93,8,0.61,6,16,1,1
232,2,0.15,3,55,1,0
45,0,0.29,4,21,1,0
132,7,0.41,2,26,0,1
203,0,0.04,1,64,1,0
174,6,0.29,3,33,1,1
130,3,0.38,3,82,0,0
154,7,0.59,4,39,1,1
144,8,0.95,5,55,0,1
219,2,0.17,0,99,1,0
179,5,0.31,2,48,0,1
92,4,0.07,4,56,0,1
79,0,0.49,3,67,1,0
71,3,0.01,2,81,0,0
56,1,0.01,2,75,1,0
141,5,0.39,3,32,0,0
115,5,0.95,4,43,0,1
232,2,0.24,3,58,0,0
177,5,0.42,4,81,1,1
58,2,0.08,2,80,0,0
147,4,0.4,2,38,1,1
91,1,0.16,1,48,0,0
231,4,0.19,0,84,0,0
24,4,0.48,4,72,1,1
64,4,0.26,2,58,0,0
191,2,0.28,1,23,1,0
40,1,0.33,0,91,0,1
103,0,0.42,2,56,1,0
220,0,0.35,1,80,0,0
98,3,0.01,3,82,0,0
40,3,0.57,1,51,1,1
110,2,0.28,2,10,1,1
151,5,0.13,5,36,0,1
37,4,0.71,1,80,1,1
114,2,0.66,2,27,1,1
49,6,0.44,0,34,1,1
84,3,0.2,3,58,1,0
133,8,0.41,10,26,0,1
104,4,0.01,1,25,0,0
61,5,0.17,2,93,0,0
161,7,0.72,6,48,0,1
124,5,0.35,7,34,1,1
161,3,0.32,6,35,0,0
59,4,0.53,5,33,0,1
40,4,0.7,3,36,1,1
73,0,0.08,2,94,0,0
40,2,0.17,4,78,0,0
136,1,0.17,3,53,0,0
123,4,0.49,6,48,1,1
110,3,0.09,3,68,0,0
57,1,0.36,1,85,1,0
177,0,0.67,7,16,0,1
60,2,0.42,2,40,1,1
91,2,0.35,3,77,0,0
157,5,0.42,5,52,1,1
33,3,0.36,3,37,1,1
179,4,0.33,6,36,0,1
223,3,0.37,1,73,1,0
162,0,0.26,0,68,0,0
219,3,0.02,0,68,0,0
24,2,0.64,7,36,0,1
36,1,0.13,0,25,0,0
142,6,0.67,1,11,1,1
48,5,0.62,2,51,1,1
150,4,0.01,2,74,1,0
164,0,0.48,0,76,0,0
204,0,0.01,1,61,1,0
96,5,0.11,3,16,1,1
214,2,0.28,1,52,0,0
235,2,0.24,2,67,0,0
84,2,0.39,4,57,1,0
92,5,0.31,2,84,1,0
55,7,0.43,6,30,0,1
71,4,0.26,4,47,0,1
29,5,0.36,5,30,0,1
146,6,0.73,5,26,1,1
115,1,0.67,0,63,0,0
69,5,0.25,4,8,0,0
95,1,0.28,6,78,0,1
52,1,0.24,3,67,0,1
134,4,0.02,3,73,1,1
45,1,0.04,3,95,0,0
206,4,0.44,1,96,1,0
175,2,0.64,7,20,0,1
204,2,0.01,3,80,0,0
45,3,0.01,2,93,1,0
72,4,0.19,6,25,1,1
164,6,0.5,5,6,1,1
178,3,0.27,1,46,1,0
150,3,0.23,2,36,0,0
117,0,0.56,3,46,0,1
109,9,0.85,3,47,0,1
106,0,0.26,0,78,1,0
68,7,0.3,7,66,1,1
34,2,0.26,0,57,0,0
31,3,0.5,5,82,1,1
167,3,0.67,3,22,1,1
86,1,0.27,0,60,0,0
172,0,0.21,4,59,0,0
58,4,0.54,2,36,1,1
138,7,0.29,7,34,1,1
40,8,0.24,7,59,1,1
184,2,0.22,2,44,0,0
105,3,0.83,4,53,0,1
92,1,0.01,1,78,0,0
111,3,0.6,6,23,0,1
111,3,0.12,0,83,1,0
169,2,0.32,5,56,1,1
197,3,0.15,2,46,0,0
110,6,0.7,0,43,1,1
28,5,0.35,4,33,1,1
47,2,0.18,0,69,0,0
153,2,0.18,0,65,1,0
103,5,0.23,0,37,0,0
58,4,0.7,4,60,0,1
147,0,0.01,2,100,0,0
224,3,0.23,0,85,0,0
131,3,0.28,10,31,0,1
165,4,0.43,8,62,0,1
100,6,0.43,7,72,0,1
164,4,0.8,0,70,1,1
40,0,0.42,6,47,0,1
182,0,0.37,3,72,0,0
116,1,0.55,4,32,0,1
51,2,0.36,2,58,0,0
98,1,0.54,5,45,1,1
56,3,0.22,3,84,0,0
119,5,0.1,0,14,1,1
73,3,0.3,1,70,0,0
49,0,0.49,1,46,0,0
21,6,0.36,1,12,1,1
196,3,0.19,0,100,1,0
111,1,0.44,0,71,1,0
130,0,0.48,3,100,1,0
138,6,0.37,5,0,1,1
202,0,0.2,2,99,0,0
173,2,0.45,0,37,0,1
122,1,0.01,0,45,1,0
72,1,0.16,4,66,0,0
140,2,0.25,2,100,0,0
115,1,0.64,2,26,1,0
126,5,0.38,6,8,1,1
163,0,0.22,0,81,0,0
59,3,0.22,4,92,0,0
171,3,0.37,3,66,0,0
140,0,0.36,3,55,0,1
91,4,0.06,5,43,0,1
137,7,0.62,0,43,1,1
49,2,0.74,1,12,0,1
51,1,0.08,2,79,0,0
172,6,0.57,5,68,0,1
172,2,0.31,3,100,0,0
154,4,0.42,3,64,0,0
133,3,0.43,8,47,1,1
73,2,0.01,2,46,0,0
159,5,0.25,4,34,0,1
56,1,0.01,2,100,1,0
52,0,0.39,2,55,0,0
176,3,0.33,5,51,1,0
91,3,0.35,6,37,0,1
203,2,0.12,2,49,1,0
209,3,0.11,1,33,0,0
177,0,0.03,1,75,0,0
91,3,0.03,2,47,0,1
53,1,0.02,1,53,1,0
129,5,0.21,3,56,1,1
231,0,0.4,2,72,0,0
60,4,0.42,5,36,0,1
70,4,0.01,3,80,1,0
43,1,0.28,1,56,0,0
142,7,0.55,2,37,1,1
128,3,0.21,4,49,0,1
96,7,0.68,4,28,0,1
32,1,0.14,1,81,0,0
143,2,0.15,4,89,0,0
110,2,0.08,1,58,0,0
26,6,0.18,3,65,1,1
33,5,0.07,4,61,1,1
23,9,0.38,7,72,0,1
225,0,0.29,3,81,1,0
232,1,0.28,1,36,0,0
167,1,0.11,1,92,1,0
130,0,0.06,0,46,0,0
91,2,0.22,0,78,0,0
219,2,0.22,2,72,0,0
240,2,0.1,3,94,1,0
37,1,0.35,0,67,0,0
160,0,0.34,0,62,1,0
215,4,0.37,4,70,1,1
58,7,0.88,8,48,0,1
83,1,0.58,4,48,1,1
75,2,0.39,3,75,0,0
109,1,0.38,3,70,0,0
148,0,0.51,4,69,0,0
68,3,0.21,2,88,0,0
30,2,0.04,1,52,1,0
35,5,0.4,4,46,1,1
115,1,0.51,2,27,0,1
45,0,0.36,2,85,0,0
218,1,0.36,2,100,1,0
47,5,0.61,2,55,0,1
87,5,0.35,5,22,0,1
103,6,0.67,6,35,1,1
74,3,0.23,0,79,1,0
65,2,0.24,2,56,1,0
195,4,0.31,2,66,0,0
237,4,0.45,2,54,1,0
166,1,0.55,2,40,1,1
100,1,0.53,4,76,1,0
160,3,0.43,2,55,0,1
159,6,0.02,4,19,1,1
158,1,0.31,3,74,1,0
140,1,0.36,10,39,1,1
34,5,0.02,0,11,1,1
74,3,0.39,2,40,0,1
175,0,0.12,3,100,0,0
145,5,0.44,4,37,1,1
236,3,0.39,4,51,0,1
66,2,0.01,4,30,0,0
45,3,0.57,8,34,1,1
111,4,0.57,0,26,0,0
74,0,0.38,1,82,1,0
227,2,0.19,0,42,0,0
157,3,0.4,2,100,1,0
105,3,0.47,4,48,1,1
118,2,0.5,5,59,0,1
142,5,0.17,4,24,1,1
25,2,0.87,5,46,1,1
53,0,0.6,3,50,0,0
141,2,0.26,2,82,0,0
97,1,0.09,3,81,0,0
20,3,0.49,2,14,1,0
94,7,0.39,7,65,1,1
159,3,0.55,3,49,1,1
88,3,0.38,4,30,0,1
170,4,0.49,2,57,0,1
176,3,0.08,4,90,0,0
234,0,0.01,4,100,0,0
80,1,,0,88,0,0
45,6,0.72,5,,1,1
122,0,0.08,3,74,1,0
39,0,0.56,3,37,0,1
